StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,11/05/20,,,,,,,,18,9,8,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,11/09/20,,,,,,,,21,12,9,,,,,9
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,11/16/20,,,,,,,,30,19,11,,,,,10
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,11/19/20,,,,,,,,31,19,12,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,11/23/20,,,,,,,,34,21,12,,,,,5
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/02/20,,,,,,,,40,27,12,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/07/20,,,,,,,,49,32,14,,,,,13
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/10/20,,,,,,,,51,36,14,,,,,11
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/14/20,,,,,,,,53,38,14,,,,,9
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/17/20,,,,,,,,57,42,14,,,,,9
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/21/20,,,,,,,,58,42,14,,,,,7
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/23/20,,,,,,,,59,43,14,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/28/20,,,,,,,,64,47,15,,,,,7
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,12/31/20,,,,,,,,64,47,15,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,01/04/21,,,,,,,,67,50,15,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,01/14/21,,,,,,,,70,52,16,,,,,5
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,01/21/21,,,,,,,,75,57,16,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,01/25/21,,,,,,,,75,57,16,,,,,5
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,0500059,,,06/15/20,01/28/21,,,,,,,,77,58,16,,,,,5
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,0502250,,,06/15/20,10/19/20,,,,,,,,50,36,14,,,,,9
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,0502250,,,06/15/20,10/22/20,,,,,,,,53,39,14,,,,,9
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,0502250,,,06/15/20,10/26/20,,,,,,,,54,40,14,,,,,5
