StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Colorado,CO,School,Yes,5280 High School,Regular school,080336006756,,Regular local school district,0803360,,,01/27/21,02/14/21,4,4,,,,,,,,,,,,,
Colorado,CO,School,Yes,5280 High School,Regular school,080336006756,,Regular local school district,0803360,,,05/03/21,05/29/21,8,8,,,,,,,,,,,,,
Colorado,CO,School,No,Academia Ana Marie Sandoval,Regular school,080336001750,,Regular local school district,0803360,,,11/13/20,12/23/20,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Academy Charter School,Regular school,080345000492,,Regular local school district,0803450,,,11/17/20,12/08/20,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Adams City High School,Regular school,080195000010,,Regular local school district,0801950,,,05/05/21,05/17/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,080480006587,,Regular local school district,0804800,,,12/01/20,12/15/20,2,2,,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,080480006587,,Regular local school district,0804800,,,01/29/21,03/16/21,8,4,4,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,080480006587,,Regular local school district,0804800,,,04/21/21,05/26/21,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Air Academy High School,Regular school,080192000002,,Regular local school district,0801920,,,11/13/20,12/15/20,3,,3,,,,,,,,,,,,
Colorado,CO,School,No,Air Academy High School,Regular school,080192000002,,Regular local school district,0801920,,,03/18/21,04/05/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Alameda International Jr/Sr High,Regular school,080480000691,,Regular local school district,0804800,,,10/29/20,12/07/20,14,14,,,,,,,,,,,,,
Colorado,CO,School,,Alamosa Elementary K-2,,080207006798,,Regular local school district,0802070,,,04/26/21,05/21/21,2,,2,,,,,,,,,,,,
Colorado,CO,School,No,Alamosa High School,Regular school,080207000027,,Regular local school district,0802070,,,05/12/21,06/18/21,16,16,,,,,,,,,,,,,
Colorado,CO,School,No,Alicia Sanchez Elementary School,Regular school,080249001403,,Regular local school district,0802490,,,05/18/21,05/29/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Altitude Elementary School,Regular school,080291006750,,Regular local school district,0802910,,,03/10/21,04/14/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Altura Elementary School,Regular school,080234000052,,Regular local school district,0802340,,,04/23/21,05/18/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Castle Pines,Regular school,080345001896,,Regular local school district,0803450,,,11/24/20,02/05/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Castle Pines,Regular school,080345001896,,Regular local school district,0803450,,,11/24/20,02/05/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Lincoln Meadows,Regular school,080345001896,,Regular local school district,0803450,,,02/18/21,03/17/21,14,12,2,,,,,,,,,,,,
