StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,11/18/20,11/20/20,,0,4,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,11/23/20,12/04/20,,1,6,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,12/07/20,12/18/20,,11,15,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,12/21/20,01/01/21,,3,23,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,01/04/21,01/15/21,,6,28,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,01/19/21,01/29/21,,6,20,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,02/01/21,02/12/21,,11,15,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,02/15/21,02/26/21,,18,10,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,03/01/21,03/12/21,,29,13,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,03/15/21,03/26/21,,12,15,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,03/29/21,04/09/21,,17,26,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,04/12/21,04/23/21,,21,19,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,04/26/21,05/07/21,,16,16,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,05/10/21,05/21/21,,16,7,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,05/24/21,06/04/21,,8,5,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,06/07/21,06/18/21,,2,3,,,,,,,,,,,,
