StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,09/25/20,10/02/20,,,,,,,,,,,,1-10,0,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,10/02/20,10/09/20,,,,,,,,,,,,0,0,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,10/09/20,10/16/20,,,,,,,,,,,,1-10,0,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,10/16/20,10/23/20,,,,,,,,,,,,0,0,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,10/23/20,10/30/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,10/30/20,11/06/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,11/06/20,11/13/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,11/13/20,11/20/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,11/20/20,11/27/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,11/27/20,12/04/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,12/04/20,12/11/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,12/11/20,12/18/20,,,,,,,,,,,,0,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,12/18/20,12/25/20,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,12/25/20,01/01/21,,,,,,,,,,,,0,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,01/01/21,01/08/21,,,,,,,,,,,,0,,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,01/08/21,01/15/21,,,,,,,,,,,,0,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,01/15/21,01/22/21,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,01/22/21,01/29/21,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,01/29/21,02/05/21,,,,,,,,,,,,1-10,1-10,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,02/05/21,02/12/21,,,,,,,,,,,,1-10,0,,
Delaware,DE,District,No,,,,Appoquinimink School District,Regular local school district,1000080,,Weekly,02/12/21,02/19/21,,,,,,,,,56,40,,1-10,,,
