StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Hawaii,HI,Complex,,,,,​Hilo-Waiakea,,,,Weekly,12/05/20,12/12/20,,0,2,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Honokaa-Kealakehe-Kohala-Konawaena,,,,Weekly,10/30/20,11/06/20,,2,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Honokaa-Kealakehe-Kohala-Konawaena,,,,Weekly,11/14/20,11/21/20,,1,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Honokaa-Kealakehe-Kohala-Konawaena,,,,Weekly,12/17/20,12/24/20,,1,0,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Honokaa-Kealakehe-Kohala-Konawaena,,,,Weekly,12/24/20,12/31/20,,0,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Honokaa-Kealakehe-Kohala-Konawaena,,,,Weekly,01/01/21,01/08/21,,0,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Kau-Keaau-Pahoa​,,,,Weekly,11/06/20,11/13/20,,0,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Kau-Keaau-Pahoa​,,,,Weekly,11/27/20,12/04/20,,1,0,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Kau-Keaau-Pahoa​,,,,Weekly,01/01/21,01/08/21,,0,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Kau-Keaau-Pahoa​,,,,Weekly,03/26/21,04/02/21,,1,0,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​Kau-Keaau-Pahoa​,,,,Weekly,04/02/21,04/09/21,,3,0,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​​Complex Area,,,,Weekly,12/11/20,12/18/20,,1,0,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​​Kapaa-Kauai-Waimea,,,,Weekly,11/06/20,11/13/20,,0,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​​Kapaa-Kauai-Waimea,,,,Weekly,11/20/20,11/27/20,,1,1,,,,,,,,,,,,
Hawaii,HI,Complex,,,,,​​Kapaa-Kauai-Waimea,,,,Weekly,11/27/20,12/04/20,,1,0,,,,,,,,,,,,
