StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,09/25/20,10/01/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,10/02/20,10/08/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,10/09/20,10/15/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,10/16/20,10/22/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,10/23/20,10/29/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,10/30/20,11/06/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,11/07/20,11/13/20,4,,,,,,,4,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,11/16/20,11/22/20,,,,,,,,4,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,11/23/20,11/29/20,,,,,,,,4,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,11/30/20,12/06/20,,,,,,,,6,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,12/07/20,12/13/20,1,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,12/14/20,12/20/20,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,12/21/20,12/27/20,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,12/28/20,01/03/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,01/04/21,01/10/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,01/11/21,01/15/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,01/16/21,01/24/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,01/25/21,01/31/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,02/01/21,02/07/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,02/08/21,02/12/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,02/13/21,02/21/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,02/22/21,02/28/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,03/01/21,03/07/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,03/08/21,03/14/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,03/15/21,03/21/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,03/22/21,03/28/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,03/29/21,04/04/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,04/05/21,04/11/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,04/12/21,04/18/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,04/19/21,04/25/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,04/26/21,05/02/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,05/03/21,05/09/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,05/10/21,05/16/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,05/17/21,05/23/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,05/24/21,05/31/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A B McDonald Elementary,Regular school,160222000390,,Regular local school district,1602220,,Weekly,06/01/21,06/06/21,,,,,,,,7,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,09/25/20,10/01/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,10/02/20,10/08/20,,,,,,,,,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,10/09/20,10/15/20,,,,,,,,1,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,10/16/20,10/22/20,,,,,,,,1,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,10/23/20,10/29/20,,,,,,,,1,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,10/30/20,11/06/20,,,,,,,,1,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,11/07/20,11/13/20,2+,,,,,,,3+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,11/16/20,11/22/20,1+,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,11/23/20,11/29/20,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,11/30/20,12/06/20,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,12/07/20,12/13/20,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,12/14/20,12/20/20,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,12/21/20,12/27/20,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,12/28/20,01/03/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,01/04/21,01/10/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,01/11/21,01/15/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,01/16/21,01/24/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,01/25/21,01/31/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,02/01/21,02/07/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,02/08/21,02/12/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,02/13/21,02/21/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,02/22/21,02/28/21,,,,,,,,4+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,03/01/21,03/07/21,1+,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,03/08/21,03/14/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,03/15/21,03/21/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,03/22/21,03/28/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,03/29/21,04/04/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,04/05/21,04/11/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,04/12/21,04/18/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,04/19/21,04/25/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,04/26/21,05/02/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,05/03/21,05/09/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,05/10/21,05/16/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,05/17/21,05/23/21,,,,,,,,5+,,,,,,,
Idaho,ID,School,No,A H Bush Elementary,Regular school,160153000252,,Regular local school district,1601530,,Weekly,05/24/21,05/31/21,,,,,,,,5+,,,,,,,
