StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Kansas,KS,School,No,Campus High School,Regular school,200705000362,,Regular local school district,2007050,,Biweekly,11/11/20,11/25/20,5,,,,,,,,,,,,,,
Kansas,KS,School,No,Caney Valley High School,Regular school,200441001065,,Regular local school district,2004410,,Biweekly,10/28/20,11/11/20,5,,,,,,,,,,,,,,
Kansas,KS,School,No,Clay Center Community High School,Regular school,200489000824,,Regular local school district,2004890,,Biweekly,11/04/20,11/18/20,9,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby Cooper Elementary School,Regular school,200546000355,,Regular local school district,2005460,,Biweekly,11/11/20,11/25/20,7,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,200546000361,,Regular local school district,2005460,,Biweekly,10/21/20,11/04/20,6,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,200546000361,,Regular local school district,2005460,,Biweekly,11/04/20,11/18/20,10,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,200546000361,,Regular local school district,2005460,,Biweekly,11/11/20,11/25/20,9,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,200546000361,,Regular local school district,2005460,,Biweekly,11/18/20,12/02/20,11,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,200546000361,,Regular local school district,2005460,,Biweekly,12/02/20,12/16/20,8,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,200546000361,,Regular local school district,2005460,,Biweekly,11/25/20,12/09/20,8,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,200546000361,,Regular local school district,2005460,,Biweekly,10/28/20,11/11/20,7,,,,,,,,,,,,,,
Kansas,KS,School,No,Derby Middle School,Regular school,200546002079,,Regular local school district,2005460,,Biweekly,11/04/20,11/18/20,10,,,,,,,,,,,,,,
