StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Kentucky,KY,District,No,,,,Adair County,Regular local school district,2100030,,Daily,10/26/20,10/26/20,,0,0,,,4,1,,12,6,,,,,
Kentucky,KY,District,No,,,,Allen County,Regular local school district,2100070,,Daily,10/26/20,10/26/20,,0,0,,,12,1,,23,19,,,,,
Kentucky,KY,District,No,,,,Anchorage Independent,Regular local school district,2100090,,Daily,10/26/20,10/26/20,,0,0,,,4,0,,6,1,,,,,
Kentucky,KY,District,No,,,,Anderson County,Regular local school district,2100120,,Daily,10/26/20,10/26/20,,0,0,,,1,1,,7,9,,,,,
Kentucky,KY,District,No,,,,Ashland Independent,Regular local school district,2100150,,Daily,10/26/20,10/26/20,,0,0,,,0,0,,6,2,,,,,
Kentucky,KY,District,No,,,,Ballard County,Regular local school district,2100210,,Daily,10/26/20,10/26/20,,0,0,,,0,0,,2,0,,,,,
Kentucky,KY,District,No,,,,Barbourville Independent,Regular local school district,2100240,,Daily,10/26/20,10/26/20,,0,0,,,1,0,,1,0,,,,,
Kentucky,KY,District,No,,,,Bardstown Independent,Regular local school district,2100270,,Daily,10/26/20,10/26/20,,0,0,,,11,6,,26,13,,,,,
Kentucky,KY,District,No,,,,Barren County,Regular local school district,2100300,,Daily,10/26/20,10/26/20,,0,0,,,12,4,,43,15,,,,,
Kentucky,KY,District,No,,,,Bath County,Regular local school district,2100330,,Daily,10/26/20,10/26/20,,0,0,,,0,1,,1,2,,,,,
