StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Maryland,MD,School,No,Applications and Research Laboratory,Other/alternative school,240042002949,,Regular local school district,2400420,,Weekly,05/12/21,05/19/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Applications and Research Laboratory,Other/alternative school,240042002949,,Regular local school district,2400420,,Weekly,05/19/21,05/26/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Bainbridge Elementary School,Regular school,240024000556,,Regular local school district,2400240,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Bainbridge Elementary School,Regular school,240024000556,,Regular local school district,2400240,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,4
Maryland,MD,School,No,Bainbridge Elementary School,Regular school,240024000556,,Regular local school district,2400240,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,5
Maryland,MD,School,No,Baltimore Design School,Regular school,240009001703,,Regular local school district,2400090,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,6
Maryland,MD,School,No,Baltimore Design School,Regular school,240009001703,,Regular local school district,2400090,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,6
Maryland,MD,School,Yes,Baltimore Montessori,Regular school,240009001657,,Regular local school district,2400090,,Weekly,01/06/21,01/13/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Barbara Ingram School,Regular school,240066001674,,Regular local school district,2400660,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,4
Maryland,MD,School,No,Barbara Ingram School,Regular school,240066001674,,Regular local school district,2400660,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,4
Maryland,MD,School,No,Beall Elementary School,Regular school,240003000003,,Regular local school district,2400030,,Weekly,04/06/21,04/13/21,,,,,,,,,,,,,,,5
Maryland,MD,School,No,Beall Elementary School,Regular school,240003000003,,Regular local school district,2400030,,Weekly,04/14/21,04/21/21,,,,,,,,,,,,,,,5
Maryland,MD,School,No,Beall Elementary School,Regular school,240003000003,,Regular local school district,2400030,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Beechfield Elementary/Middle School,Regular school,240009000155,,Regular local school district,2400090,,Weekly,12/09/20,12/16/20,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Bel Air Elementary School,Regular school,240003000005,,Regular local school district,2400030,,Weekly,04/14/21,04/21/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Bel Air Middle School,Regular school,240039001397,,Regular local school district,2400390,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Bel Air Middle School,Regular school,240039001397,,Regular local school district,2400390,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Bellows Spring Elementary School,Regular school,240042001551,,Regular local school district,2400420,,Weekly,04/06/21,04/13/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Berlin Intermediate School,Regular school,240072001323,,Regular local school district,2400720,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Berlin Intermediate School,Regular school,240072001323,,Regular local school district,2400720,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Bohemia Manor High School,Regular school,240024000558,,Regular local school district,2400240,,Weekly,03/24/21,03/31/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Bohemia Manor High School,Regular school,240024000558,,Regular local school district,2400240,,Weekly,03/31/21,04/07/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,03/03/21,03/10/21,,,,,,,,,,,,,,,4
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,03/10/21,03/17/21,,,,,,,,,,,,,,,7
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,03/17/21,03/24/21,,,,,,,,,,,,,,,10
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,03/24/21,03/31/21,,,,,,,,,,,,,,,13
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,03/31/21,04/07/21,,,,,,,,,,,,,,,14
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,04/06/21,04/13/21,,,,,,,,,,,,,,,14
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,04/14/21,04/21/21,,,,,,,,,,,,,,,16
Maryland,MD,School,No,Boonsboro High School,Regular school,240066001256,,Regular local school district,2400660,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,17
Maryland,MD,School,No,Brunswick High School,Regular school,240033000627,,Regular local school district,2400330,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Brunswick High School,Regular school,240033000627,,Regular local school district,2400330,,Weekly,05/12/21,05/19/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Brunswick Middle School,Regular school,240033001409,,Regular local school district,2400330,,Weekly,10/22/20,10/29/20,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Bryant's Wood Elementary School,Regular school,240042000720,,Regular local school district,2400420,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Bryant's Wood Elementary School,Regular school,240042000720,,Regular local school district,2400420,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Calvin M. Rodwell Elementary/Middle School,Regular school,240009001390,,Regular local school district,2400090,,Weekly,06/02/21,06/09/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Calvin M. Rodwell Elementary/Middle School,Regular school,240009001390,,Regular local school district,2400090,,Weekly,06/09/21,06/16/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Carroll County Career Technology Center,Vocational school,240021000979,,Regular local school district,2400210,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Carroll County Career Technology Center,Vocational school,240021000979,,Regular local school district,2400210,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Carroll Springs Elementary,Special education school,240021000527,,Regular local school district,2400210,,Weekly,02/03/21,02/10/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Carroll Springs Elementary,Special education school,240021000527,,Regular local school district,2400210,,Weekly,02/10/21,02/17/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Catoctin High School,Regular school,240033000629,,Regular local school district,2400330,,Weekly,02/10/21,02/17/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Catoctin High School,Regular school,240033000629,,Regular local school district,2400330,,Weekly,02/17/21,02/24/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Catonsville High School,Regular school,240012000355,,Regular local school district,2400120,,Weekly,03/31/21,04/07/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Catonsville High School,Regular school,240012000355,,Regular local school district,2400120,,Weekly,04/06/21,04/13/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Catonsville High School,Regular school,240012000355,,Regular local school district,2400120,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,5
Maryland,MD,School,No,Catonsville High School,Regular school,240012000355,,Regular local school district,2400120,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,5
Maryland,MD,School,No,Cecil County School of Technology,Vocational school,240024000984,,Regular local school district,2400240,,Weekly,03/24/21,03/31/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Cecil County School of Technology,Vocational school,240024000984,,Regular local school district,2400240,,Weekly,03/31/21,04/07/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Cecilton Elementary School,Regular school,240024000562,,Regular local school district,2400240,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Cecilton Elementary School,Regular school,240024000562,,Regular local school district,2400240,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Cedar Lane School,Special education school,240042001415,,Regular local school district,2400420,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Centreville Middle School,Regular school,240054001190,,Regular local school district,2400540,,Weekly,04/14/21,04/21/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Centreville Middle School,Regular school,240054001190,,Regular local school district,2400540,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Century High School,Regular school,240021001161,,Regular local school district,2400210,,Weekly,03/24/21,03/31/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Century High School,Regular school,240021001161,,Regular local school district,2400210,,Weekly,03/31/21,04/07/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Century High School,Regular school,240021001161,,Regular local school district,2400210,,Weekly,04/06/21,04/13/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Choptank Elementary School,Regular school,240030000841,,Regular local school district,2400300,,Weekly,04/21/21,04/28/21,,,,,,,,,,,,,,,5
Maryland,MD,School,No,Choptank Elementary School,Regular school,240030000841,,Regular local school district,2400300,,Weekly,04/28/21,05/05/21,,,,,,,,,,,,,,,7
Maryland,MD,School,No,Choptank Elementary School,Regular school,240030000841,,Regular local school district,2400300,,Weekly,05/05/21,05/12/21,,,,,,,,,,,,,,,12
Maryland,MD,School,No,Chopticon High School,Regular school,240060001218,,Regular local school district,2400600,,Weekly,04/06/21,04/13/21,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Chopticon High School,Regular school,240060001218,,Regular local school district,2400600,,Weekly,04/14/21,04/21/21,,,,,,,,,,,,,,,3
Maryland,MD,School,No,Clear Spring High School,Regular school,240066001260,,Regular local school district,2400660,,Weekly,10/29/20,11/05/20,,,,,,,,,,,,,,,2
Maryland,MD,School,No,Clear Spring High School,Regular school,240066001260,,Regular local school district,2400660,,Weekly,03/10/21,03/17/21,,,,,,,,,,,,,,,3
