StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Montana,MT,School,Not applicable,Absarokee School,Regular school,300171000001,,Regular local school district,3001710,Stillwater,Weekly,10/02/20,10/09/20,,,,,,,,,,,,0,1,,1
Montana,MT,School,Not applicable,Absarokee School,Regular school,300171000001,,Regular local school district,3001710,Stillwater,Weekly,10/09/20,10/16/20,,,,,,,,,,,,0,1,,1
Montana,MT,School,Not applicable,Absarokee School,Regular school,300171000001,,Regular local school district,3001710,Stillwater,Weekly,10/21/20,10/28/20,,,,,,,,,,,,0,1,,1
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,10/29/20,11/05/20,,,,,,,,,,,,0,2,,2
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,11/05/20,11/12/20,,,,,,,,,,,,0,2,,2
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,11/11/20,11/18/20,,,,,,,,,,,,0,2,,2
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,11/20/20,11/27/20,,,,,,,,,,,,1,2,,3
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,11/25/20,12/02/20,,,,,,,,,,,,1,2,,3
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,12/02/20,12/09/20,,,,,,,,,,,,1,2,,3
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,12/09/20,12/16/20,,,,,,,,,,,,1,2,,3
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,01/06/21,01/13/21,,,,,,,,,,,,1,2,,3
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,01/13/21,01/20/21,,,,,,,,,,,,1,2,,3
Montana,MT,School,Not applicable,Absarokee Schools,Regular school,"300171000001,300174000002",,Regular local school district,"3001710,3001740",Stillwater,Weekly,01/20/21,01/27/21,,,,,,,,,,,,1,2,,3
