StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined,NCESSchoolID1,NCESSchoolID2,NCESSchoolID3
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,10/01/20,10/07/20,,,,,,,,2,2,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,10/08/20,10/14/20,,,,,,,,2,2,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,10/15/20,10/21/20,,,,,,,,3,3,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,10/22/20,10/28/20,,,,,,,,3,3,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,10/29/20,11/04/20,,,,,,,,3,3,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,11/12/20,11/18/20,,,,,,,,3,3,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,11/19/20,11/25/20,,,,,,,,3,3,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,11/26/20,12/02/20,,,,,,,,3,3,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,12/10/20,12/16/20,,,,,,,,3,3,0,,,,,,320048000562.0,,
Nevada,NV,School,Yes,Academy For Career Education (ACE),Regular school,320048000562,WASHOE COUNTY SCHOOL DISTRICT,Regular local school district,3200480,,Weekly,01/07/21,01/13/21,,,,,,,,3,3,0,,,,,,320048000562.0,,
