StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,10/10/20,10/17/20,,,,,,,,,,,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,10/17/20,10/24/20,1-4,,,,,,,1-4,,,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,10/24/20,10/31/20,0,,,,,,,1-4,,,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,10/31/20,11/07/20,,0,0,,,,,,0,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,11/07/20,11/14/20,,0,1-4,,,,,,0,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,11/14/20,11/21/20,,0,1-4,,,,,,0,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,11/21/20,11/28/20,,0,0,,,,,,0,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,11/28/20,12/05/20,,1-4,0,,,,,,1-4,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,12/05/20,12/12/20,,0,0,,,,,,1-4,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,12/12/20,12/19/20,,0,0,,,,,,1-4,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,12/19/20,12/26/20,,0,0,,,,,,1-4,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,12/26/20,01/02/21,,0,0,,,,,,1-4,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,01/02/21,01/09/21,,1-4,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,01/09/21,01/16/21,,1-4,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,01/16/21,01/23/21,,0,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,01/23/21,01/30/21,,0,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,01/30/21,02/06/21,,0,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,02/06/21,02/13/21,,0,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,02/13/21,02/20/21,,1-4,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,02/20/21,02/27/21,,1-4,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,02/27/21,03/06/21,,1-4,0,,,,,,5-9,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,03/06/21,03/13/21,,1-4,0,,,,,,10-14,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,03/13/21,03/20/21,,0,0,,,,,,10-14,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,03/20/21,03/27/21,,1-4,0,,,,,,10-14,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,03/27/21,04/03/21,,1-4,0,,,,,,10-14,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,04/03/21,04/10/21,,0,0,,,,,,10-14,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,04/10/21,04/17/21,,1-4,0,,,,,,10-14,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,04/17/21,04/24/21,,0,0,,,,,,10-14,1-4,,,,,
Rhode Island,RI,School,No,360 High School,Regular school,440090000492,Providence,Regular local school district,4400900,,Weekly,04/24/21,05/01/21,,0,0,,,,,,10-14,1-4,,,,,
