StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/05/21,05/05/21,,,,,,,,4568,,,,,,,68
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/06/21,05/06/21,,,,,,,,4572,,,,,,,66
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/07/21,05/07/21,,,,,,,,4592,,,,,,,82
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/10/21,05/10/21,,,,,,,,4606,,,,,,,76
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/11/21,05/11/21,,,,,,,,4614,,,,,,,78
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/12/21,05/12/21,,,,,,,,4624,,,,,,,72
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/13/21,05/13/21,,,,,,,,4642,,,,,,,85
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/14/21,05/14/21,,,,,,,,4644,,,,,,,83
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/17/21,05/17/21,,,,,,,,4651,,,,,,,83
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/18/21,05/18/21,,,,,,,,4657,,,,,,,85
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/20/21,05/20/21,,,,,,,,4661,,,,,,,60
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/21/21,05/21/21,,,,,,,,4665,,,,,,,55
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/25/21,05/25/21,,,,,,,,4677,,,,,,,37
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/26/21,05/26/21,,,,,,,,4678,,,,,,,28
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,05/31/21,05/31/21,,,,,,,,4682,,,,,,,19
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/01/21,06/01/21,,,,,,,,4682,,,,,,,14
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/02/21,06/02/21,,,,,,,,4690,,,,,,,20
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/03/21,06/03/21,,,,,,,,4694,,,,,,,17
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/04/21,06/04/21,,,,,,,,4701,,,,,,,24
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/07/21,06/07/21,,,,,,,,4704,,,,,,,26
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/08/21,06/08/21,,,,,,,,4708,,,,,,,29
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/09/21,06/09/21,,,,,,,,4710,,,,,,,27
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/10/21,06/10/21,,,,,,,,4712,,,,,,,28
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/11/21,06/11/21,,,,,,,,4712,,,,,,,27
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/14/21,06/14/21,,,,,,,,4712,,,,,,,22
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/15/21,06/15/21,,,,,,,,4714,,,,,,,21
Utah,UT,District,No,,,,Alpine District,Regular local school district,4900030,,Daily,06/16/21,06/16/21,,,,,,,,4717,,,,,,,16
