StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Virginia,VA,School,No,Altavista Elementary School,Regular school,510060000219,Campbell,Regular local school district,5100600,,Monthly,09/11/20,10/11/20,,,,,,,,,,,,,,,
Virginia,VA,School,No,Altavista High & Middle School,Regular school,510060000220,Campbell,Regular local school district,5100600,,Monthly,05/28/21,06/27/21,7,,,,,,,,,,,,,,
Virginia,VA,School,No,Annandale High School,Regular school,510126000423,Fairfax,Regular local school district,5101260,,Monthly,01/22/21,02/21/21,,,,,,,,,,,,,,,
Virginia,VA,School,No,Appomattox Regional Governer's School,Regular school,510003201932,Petersburg,Specialized public school district,5100032,,Monthly,04/05/21,05/05/21,5,,,,,,,,,,,,,,
Virginia,VA,School,No,Arrowhead Elementary School,Regular school,510384001673,Virginia Beach,Regular local school district,5103840,,Monthly,03/26/21,04/25/21,,,,,,,,,,,,,,,
Virginia,VA,School,No,Ashland Elementary School,Regular school,510313002302,Prince William,Regular local school district,5103130,,Monthly,05/04/21,06/03/21,7,,,,,,,,,,,,,,
Virginia,VA,School,No,Atlee High School,Regular school,510183000114,Hanover,Regular local school district,5101830,,Monthly,02/11/21,03/13/21,6,,,,,,,,,,,,,,
Virginia,VA,School,No,Atlee High School,Regular school,510183000114,Hanover,Regular local school district,5101830,,Monthly,04/07/21,05/07/21,,,,,,,,,,,,,,,
Virginia,VA,School,No,Atlee High School,Regular school,510183000114,Hanover,Regular local school district,5101830,,Monthly,06/17/21,07/17/21,,,,,,,,,,,,,,,
Virginia,VA,School,No,Bailey's Elementary School,Regular school,510126000426,Fairfax,Regular local school district,5101260,,Monthly,05/13/21,06/12/21,5,,,,,,,,,,,,,,
Virginia,VA,School,No,Battlefield Park Elementary School,Regular school,510183000764,Hanover,Regular local school district,5101830,,Monthly,03/05/21,04/04/21,,,,,,,,,,,,,,,
Virginia,VA,School,No,Bayside High School,Regular school,510384001675,Virginia Beach,Regular local school district,5103840,,Monthly,03/26/21,04/25/21,,,,,,,,,,,,,,,
Virginia,VA,School,No,Bell Creek Middle School,Regular school,510183000780,Hanover,Regular local school district,5101830,,Monthly,06/10/21,07/10/21,,,,,,,,,,,,,,,
Virginia,VA,School,No,Beulah Elementary School,Regular school,510084000317,Chesterfield,Regular local school district,5100840,,Monthly,02/09/21,03/11/21,,,,,,,,,,,,,,,
