StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
West Virginia,WV,School,Not applicable,Andrew Jackson Middle School,Regular school,540060000355,,Regular local school district,5400600,,Biweekly,04/19/21,05/03/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Andrew Jackson Middle School,Regular school,540060000355,,Regular local school district,5400600,,Biweekly,04/23/21,05/07/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Andrew Jackson Middle School,Regular school,540060000355,,Regular local school district,5400600,,Biweekly,04/26/21,05/10/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Andrew Jackson Middle School EX,Regular school,540060000355,,Regular local school district,5400600,,Biweekly,03/22/21,04/05/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Andrew Jackson Middle School EX,Regular school,540060000355,,Regular local school district,5400600,,Biweekly,03/24/21,04/07/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Andrew Jackson Middle School EX,Regular school,540060000355,,Regular local school district,5400600,,Biweekly,03/25/21,04/08/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Andrew Jackson Middle School EX,Regular school,540060000355,,Regular local school district,5400600,,Biweekly,03/28/21,04/11/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Beckley-Stratton Middle School,Regular school,540123000940,,Regular local school district,5401230,,Biweekly,11/05/20,11/19/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Belington Middle School,Regular school,540003000002,,Regular local school district,5400030,,Biweekly,11/04/20,11/18/20,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Belington Middle School,Regular school,540003000002,,Regular local school district,5400030,,Biweekly,11/25/20,12/09/20,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Belington Middle School,Regular school,540003000002,,Regular local school district,5400030,,Biweekly,12/02/20,12/16/20,,,,,,,,,,,,,,,26
West Virginia,WV,School,Not applicable,Belington Middle School,Regular school,540003000002,,Regular local school district,5400030,,Biweekly,12/04/20,12/18/20,,,,,,,,,,,,,,,26
West Virginia,WV,School,Not applicable,Belle Elementary School,Regular school,540060000359,,Regular local school district,5400600,,Biweekly,11/30/20,12/14/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Belle Elementary School,Regular school,540060000359,,Regular local school district,5400600,,Biweekly,12/01/20,12/15/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Belle Elementary School,Regular school,540060000359,,Regular local school district,5400600,,Biweekly,12/06/20,12/20/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Berkeley Heights Elementary,Regular school,540006001222,,Regular local school district,5400060,,Biweekly,04/06/21,04/20/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Berkeley Heights Elementary School,Regular school,540006001222,,Regular local school district,5400060,,Biweekly,04/06/21,04/20/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Berkeley Springs High School,Regular school,540099000819,,Regular local school district,5400990,,Biweekly,03/07/21,03/21/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Berkeley Springs High School EX,Regular school,540099000819,,Regular local school district,5400990,,Biweekly,03/07/21,03/21/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Blackshere Elementary School,Regular school,540072000104,,Regular local school district,5400720,,Biweekly,03/28/21,04/11/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Blackshere Elementary School,Regular school,540072000104,,Regular local school district,5400720,,Biweekly,03/29/21,04/12/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Blackshere Elementary School,Regular school,540072000104,,Regular local school district,5400720,,Biweekly,04/06/21,04/20/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Blennerhassett Elementary School,Regular school,540162001142,,Regular local school district,5401620,,Biweekly,03/01/21,03/15/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Blennerhassett Elementary School EX,Regular school,540162001142,,Regular local school district,5401620,,Biweekly,03/01/21,03/15/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Blennerhassett Middle School,Regular school,540162001365,,Regular local school district,5401620,,Biweekly,04/20/21,05/04/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Blennerhassett Middle School,Regular school,540162001365,,Regular local school district,5401620,,Biweekly,04/23/21,05/07/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Blennerhassett Middle School,Regular school,540162001365,,Regular local school district,5401620,,Biweekly,04/28/21,05/12/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Bluefield High School,Regular school,540084000674,,Regular local school district,5400840,,Biweekly,10/02/20,10/16/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Bluefield Middle School,Regular school,540084000737,,Regular local school district,5400840,,Biweekly,03/11/21,03/25/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,10/13/20,10/27/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,10/15/20,10/29/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/10/21,03/24/21,,,,,,,,,,,,,,,13
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/11/21,03/25/21,,,,,,,,,,,,,,,13
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/15/21,03/29/21,,,,,,,,,,,,,,,14
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/16/21,03/30/21,,,,,,,,,,,,,,,21
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/18/21,04/01/21,,,,,,,,,,,,,,,21
West Virginia,WV,School,Not applicable,Braxton County High School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/21/21,04/04/21,,,,,,,,,,,,,,,21
West Virginia,WV,School,Not applicable,Braxton County High School EX,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/02/21,03/16/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Braxton County High School EX,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/04/21,03/18/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Braxton County High School EX,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/08/21,03/22/21,,,,,,,,,,,,,,,5
West Virginia,WV,School,Not applicable,Braxton County High School EX,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/09/21,03/23/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Braxton County High School EX,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/10/21,03/24/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Braxton County High School EX,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,03/11/21,03/25/21,,,,,,,,,,,,,,,15
West Virginia,WV,School,Not applicable,Braxton County School,Regular school,540012000061,,Regular local school district,5400120,,Biweekly,04/19/21,05/03/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Braxton Middle School EX,Regular school,540012000006,,Regular local school district,5400120,,Biweekly,04/19/21,05/03/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Braxton Middle School EX,Regular school,540012000006,,Regular local school district,5400120,,Biweekly,04/25/21,05/09/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Braxton Middle School EX,Regular school,540012000006,,Regular local school district,5400120,,Biweekly,04/26/21,05/10/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Bridge/Clendenin Elementary,Regular school,540060000376,,Regular local school district,5400600,,Biweekly,11/01/20,11/15/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Brucetone Elementary/Middle School,Regular school,540117000901,,Regular local school district,5401170,,Biweekly,02/22/21,03/08/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Brucetone School (Pre-K-8),Regular school,540117000901,,Regular local school district,5401170,,Biweekly,02/22/21,03/08/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Brucetone School (Pre-K-8),Regular school,540117000901,,Regular local school district,5401170,,Biweekly,03/01/21,03/15/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Brucetone School (Pre-K-8),Regular school,540117000901,,Regular local school district,5401170,,Biweekly,03/09/21,03/23/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Brucetone School (Pre-K-8),Regular school,540117000901,,Regular local school district,5401170,,Biweekly,03/11/21,03/25/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Buckhannon-Upshur High School,Regular school,540147001078,,Regular local school district,5401470,,Biweekly,10/14/20,10/28/20,,,,,,,,,,,,,,,16
West Virginia,WV,School,Not applicable,Buckhannon-Upshur High School,Regular school,540147001078,,Regular local school district,5401470,,Biweekly,10/15/20,10/29/20,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Buckhannon-Upshur High School,Regular school,540147001078,,Regular local school district,5401470,,Biweekly,10/18/20,11/01/20,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Buckhannon-Upshur High School,Regular school,540147001078,,Regular local school district,5401470,,Biweekly,10/19/20,11/02/20,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Buckhannon-Upshur High School,Regular school,540147001078,,Regular local school district,5401470,,Biweekly,10/23/20,11/06/20,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Buckhannon-Upshur High School,Regular school,540147001078,,Regular local school district,5401470,,Biweekly,10/27/20,11/10/20,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Buckhannon-Upshur High School,Regular school,540147001078,,Regular local school district,5401470,,Biweekly,11/01/20,11/15/20,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Buffalo Elementary School,Regular school,540069000506,,Regular local school district,5400690,,Biweekly,11/20/20,12/04/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Buffalo Elementary School,Regular school,540069000506,,Regular local school district,5400690,,Biweekly,11/23/20,12/07/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Buffalo Elementary School,Regular school,540069000506,,Regular local school district,5400690,,Biweekly,11/27/20,12/11/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Buffalo Elementary School,Regular school,540069000506,,Regular local school district,5400690,,Biweekly,12/01/20,12/15/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Buffalo High School EX,Regular school,540120000919,,Regular local school district,5401200,,Biweekly,04/23/21,05/07/21,,,,,,,,,,,,,,,7
West Virginia,WV,School,Not applicable,Buffalo High School EX,Regular school,540120000919,,Regular local school district,5401200,,Biweekly,04/26/21,05/10/21,,,,,,,,,,,,,,,7
West Virginia,WV,School,Not applicable,Buffalo Middle EX,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/08/21,03/22/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Buffalo Middle School,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/12/21,03/26/21,,,,,,,,,,,,,,,7
West Virginia,WV,School,Not applicable,Buffalo Middle School,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/15/21,03/29/21,,,,,,,,,,,,,,,7
West Virginia,WV,School,Not applicable,Buffalo Middle School,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/18/21,04/01/21,,,,,,,,,,,,,,,7
West Virginia,WV,School,Not applicable,Buffalo Middle School,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/21/21,04/04/21,,,,,,,,,,,,,,,7
West Virginia,WV,School,Not applicable,Buffalo Middle School,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/24/21,04/07/21,,,,,,,,,,,,,,,7
West Virginia,WV,School,Not applicable,Buffalo Middle School EX,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/06/21,03/20/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Buffalo Middle School EX,Regular school,540150001294,,Regular local school district,5401500,,Biweekly,03/10/21,03/24/21,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Cabell Midland High School,Regular school,540018000686,,Regular local school district,5400180,,Biweekly,03/10/21,03/24/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Cabell Midland High School,Regular school,540018000686,,Regular local school district,5400180,,Biweekly,03/14/21,03/28/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Cabell Midland High School,Regular school,540018000686,,Regular local school district,5400180,,Biweekly,03/15/21,03/29/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Cabell Midland High School,Regular school,540018000686,,Regular local school district,5400180,,Biweekly,03/18/21,04/01/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Cabell Midland High School,Regular school,540018000686,,Regular local school district,5400180,,Biweekly,03/21/21,04/04/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Cabell Midland High School,Regular school,540018000686,,Regular local school district,5400180,,Biweekly,03/24/21,04/07/21,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Calhoun Middle/High School,Regular school,540021000142,,Regular local school district,5400210,,Biweekly,04/23/21,05/07/21,,,,,,,,,,,,,,,8
West Virginia,WV,School,Not applicable,Calhoun Middle/High School,Regular school,540021000142,,Regular local school district,5400210,,Biweekly,04/28/21,05/12/21,,,,,,,,,,,,,,,18
West Virginia,WV,School,Not applicable,Calhoun Middle/High School,Regular school,540021000142,,Regular local school district,5400210,,Biweekly,05/03/21,05/17/21,,,,,,,,,,,,,,,22
West Virginia,WV,School,Not applicable,Calhoun Middle/High School,Regular school,540021000142,,Regular local school district,5400210,,Biweekly,05/06/21,05/20/21,,,,,,,,,,,,,,,23
West Virginia,WV,School,Not applicable,Calhoun Middle/High School,Regular school,540021000142,,Regular local school district,5400210,,Biweekly,05/11/21,05/25/21,,,,,,,,,,,,,,,23
West Virginia,WV,School,Not applicable,Calhoun Middle/High School,Regular school,540021000142,,Regular local school district,5400210,,Biweekly,05/14/21,05/28/21,,,,,,,,,,,,,,,23
West Virginia,WV,School,Not applicable,Cameron Elementary School,Regular school,540075000588,,Regular local school district,5400750,,Biweekly,10/12/20,10/26/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Cameron Elementary School,Regular school,540075000588,,Regular local school district,5400750,,Biweekly,10/22/20,11/05/20,,,,,,,,,,,,,,,24
West Virginia,WV,School,Not applicable,Cameron Elementary School,Regular school,540075000588,,Regular local school district,5400750,,Biweekly,10/28/20,11/11/20,,,,,,,,,,,,,,,24
West Virginia,WV,School,Not applicable,Cameron Elementary School,Regular school,540075000588,,Regular local school district,5400750,,Biweekly,11/02/20,11/16/20,,,,,,,,,,,,,,,24
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,11/02/20,11/16/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,11/03/20,11/17/20,,,,,,,,,,,,,,,2
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,11/04/20,11/18/20,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,11/09/20,11/23/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,11/17/20,12/01/20,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,11/17/20,12/01/20,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,11/23/20,12/07/20,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,03/30/21,04/13/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,04/01/21,04/15/21,,,,,,,,,,,,,,,4
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,04/05/21,04/19/21,,,,,,,,,,,,,,,3
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,04/05/21,04/19/21,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,04/08/21,04/22/21,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Capital High School,Regular school,540060001443,,Regular local school district,5400600,,Biweekly,04/14/21,04/28/21,,,,,,,,,,,,,,,6
West Virginia,WV,School,Not applicable,Capon Bridge Elementary School,Regular school,540042000245,,Regular local school district,5400420,,Biweekly,11/25/20,12/09/20,,,,,,,,,,,,,,,3
